year_month,노량진_kg당가격,dominant_origin,origin_count,dominant_origin_id,total_weight,wholesale_price,water_temp,wind_speed,month
2023-01,2698.816568047337,삼천포,2,2,390274,6463.838226476783,11.547812500000001,4.885520833333333,1
2023-02,2148.505895654983,삼천포,2,2,372348,7072.088476371567,11.601111111111111,4.75263888888889,2
2023-03,2500.0,남해,1,4,331997,6747.941999475899,12.690384615384616,3.7909340659340662,3
2023-04,3107.452339688042,삼천포,3,2,358139,6733.702556828494,14.505898876404496,5.276685393258427,4
2023-05,3750.0,남해,1,4,11271,8218.791589033803,16.25625,4.475,5
2023-06,2547.822299651568,남해,1,4,11569,7654.550955138733,21.394594594594594,3.816554054054054,6
2023-07,3843.1721798134013,남해,2,4,25581,3895.645205425902,23.21875,3.6055253623188404,7
2023-08,13119.565217391304,거제도,1,3,59039,4125.566998086011,27.490934065934066,4.450274725274726,8
2023-09,1654.4601433994096,남해,2,4,852027,3910.6091708361355,26.515500000000003,4.373,9
2023-10,2632.6396115157822,거제도,2,3,930247,4204.302083210158,21.981466666666666,4.435333333333333,10
2023-11,838.4128570238987,남해,4,4,573550,4324.482957022055,17.87577519379845,5.082558139534884,11
2023-12,651.513200257566,남해,1,4,651534,4389.337010808338,14.567479674796747,5.12540650406504,12
2024-01,16039.761904761905,거제도,1,3,771464,5121.8491076706105,12.102227722772279,4.943564356435644,1
2024-02,16700.4016064257,거제도,1,3,504533,4541.692218348453,11.703225806451613,5.201209677419355,2
2024-03,49443.54838709677,남해,2,4,342814,6841.308989714539,11.853358208955223,4.66679104477612,3
2024-05,5000.0,통영,1,1,1224,6686.274509803921,16.1875,5.9750000000000005,5
2024-06,3939.4736842105262,남해,1,4,52811,3876.4272594724584,21.625,3.5760989010989013,6
2024-07,3322.4758281819622,남해,2,4,35342,5605.279837021108,23.095043103448276,4.273060344827586,7
2024-08,9085.820895522387,거제도,1,3,21709,5169.921691464369,28.059438775510202,4.401275510204082,8
2024-09,1189.8207269155207,남해,2,4,106143,2419.093581300698,28.371969696969696,5.095707070707071,9
2024-10,991.0649949560456,남해,3,4,727738,3172.0873721036965,24.03582175925926,5.5799768518518515,10
2024-11,2259.489950701555,남해,2,4,816480,4687.49179404272,19.694565217391304,5.643840579710145,11
2024-12,4191.378363536518,남해,2,4,1233945,4197.949179258395,14.726421188630491,5.280167958656331,12
2025-01,9530.428075588123,거제도,1,3,614066,4946.425139968668,11.228313253012049,5.14789156626506,1
2025-02,14254.14364640884,삼천포,2,2,447054,4567.367700546242,9.949137931034482,6.587931034482759,2
2025-03,1167.9222357229648,남해,1,4,350189,6439.6197481931185,10.638636363636364,4.5625,3
2025-04,2263.3053221288515,삼천포,1,2,334849,7832.3512986450605,13.053869047619049,4.319940476190476,4
2025-06,1875.2941176470588,남해,2,4,7932,3790.0907715582453,20.309756097560978,3.534756097560976,6
2025-07,5039.696485623003,남해,1,4,9941,4676.1291620561315,25.833441558441557,4.858766233766234,7
2025-08,11192.147239263804,거제도,1,3,34572,3770.6612287400208,26.775462962962962,3.381712962962963,8
2025-09,1459.5551894563428,남해,2,4,201615,3284.4470897502665,26.117824074074072,4.5606481481481485,9
2025-10,1375.9135419154527,남해,2,4,276868,4847.673259459381,22.500892857142855,5.852232142857143,10
2025-11,3162.590569613198,거제도,2,3,710123,4185.695013399087,19.057558139534883,5.059108527131783,11
2025-12,9056.801195814649,거제도,1,3,250420,4694.906556984266,16.240384615384617,5.389743589743589,12
