week_start,region_id,total_weight,total_amount,trade_count,price_per_kg,weather_region,water_temp,wind_speed,month,season_peak,week_of_year,week_of_year_sin,week_of_year_cos,rolling_weight_4w,rolling_weight_12w,lag_weight_1w,lag_weight_2w,lag_weight_3w,lag_price_1w,rolling_price_4w
2023-01-02,1,46863,316556000,379,6754.923927192028,통영,12.471428571428572,6.628571428571428,1,0,1,0.12053668025532305,0.992708874098054,,,,,,,
2023-01-09,1,55320,368506000,353,6661.352133044107,통영,12.942857142857141,5.871428571428572,1,0,2,0.23931566428755774,0.970941817426052,,,46863.0,,,6754.923927192028,
2023-01-16,1,5903,39901000,40,6759.44435033034,통영,12.171428571428573,6.685714285714285,1,0,3,0.3546048870425356,0.9350162426854148,,,55320.0,46863.0,,6661.352133044107,
2023-01-23,1,29640,216207000,209,7294.433198380567,통영,13.371428571428572,8.928571428571429,1,0,4,0.4647231720437685,0.8854560256532099,,,5903.0,55320.0,46863.0,6759.44435033034,
2023-01-30,1,43550,336587000,349,7728.748564867968,통영,13.571428571428571,5.457142857142857,1,0,5,0.5680647467311558,0.8229838658936564,34431.5,,29640.0,5903.0,55320.0,7294.433198380567,6867.538402236761
2023-02-06,1,86760,624713000,343,7200.472568003688,통영,13.885714285714286,6.371428571428571,2,0,6,0.6631226582407952,0.7485107481711011,33603.25,,43550.0,29640.0,5903.0,7728.748564867968,7110.994561655745
2023-02-13,1,40660,287961000,252,7082.169208066896,통영,14.185714285714285,6.6571428571428575,2,0,7,0.7485107481711011,0.6631226582407953,41463.25,,86760.0,43550.0,29640.0,7200.472568003688,7245.774670395641
2023-02-20,1,14880,105645000,116,7099.798387096775,통영,13.614285714285714,5.828571428571428,2,0,8,0.8229838658936564,0.5680647467311559,50152.5,,40660.0,86760.0,43550.0,7082.169208066896,7326.45588482978
2023-02-27,1,6880,47841000,86,6953.633720930233,통영,12.799999999999999,4.7,2,0,9,0.8854560256532099,0.4647231720437686,46462.5,,14880.0,40660.0,86760.0,7099.798387096775,7277.797182008831
2023-03-06,1,34320,241419000,274,7034.353146853146,통영,14.342857142857143,4.542857142857143,3,0,10,0.9350162426854148,0.35460488704253557,37295.0,,6880.0,14880.0,40660.0,6953.633720930233,7084.018471024398
2023-03-13,1,40640,283838000,250,6984.202755905511,통영,14.028571428571428,5.5,3,0,11,0.970941817426052,0.23931566428755804,24185.0,,34320.0,6880.0,14880.0,7034.353146853146,7042.488615736763
2023-03-20,1,50240,336927000,352,6706.349522292993,통영,15.285714285714286,6.5,3,0,12,0.992708874098054,0.120536680255323,24180.0,,40640.0,34320.0,6880.0,6984.202755905511,7017.997002696416
