model,mae,rmse,n_train,n_test,uncertain_ratio,uncertain_threshold,model_version
catch,9932.596280404656,21158.349575200376,495,228,0.3421052631578947,3.0,rf_v1_20260715
wholesale_price,1740.40755141205,3467.244188430296,451,228,0.0350877192982456,1.5,rf_v1_20260715
retail_price,3572.7705865465173,5167.221334534034,23,11,0.6363636363636364,1.5,rf_v1_20260715
